symbol,name,cryptocurrency,currency,summary,exchange,market
ADA-ETH,Cardano ETH,ADA,ETH,"Cardano (ADA) is a cryptocurrency . Users are able to generate ADA through the process of mining. Cardano has a current supply of 45,000,000,000 with 31,948,309,440.747799 in circulation. The last known price of Cardano is 1.37949601 USD and is up 2.85 over the last 24 hours. It is currently trading on 260 active market(s) with $3,427,082,340.87 traded over the last 24 hours. More information can be found at https://www.cardano.org.",CCC,ccc_market
ADA-EUR,Cardano EUR,ADA,EUR,"Cardano (ADA) is a cryptocurrency . Users are able to generate ADA through the process of mining. Cardano has a current supply of 45,000,000,000 with 31,948,309,440.747799 in circulation. The last known price of Cardano is 1.45325293 USD and is up 10.13 over the last 24 hours. It is currently trading on 260 active market(s) with $5,069,502,975.35 traded over the last 24 hours. More information can be found at https://www.cardano.org.",CCC,ccc_market
ADA-GBP,Cardano GBP,ADA,GBP,"Cardano (ADA) is a cryptocurrency . Users are able to generate ADA through the process of mining. Cardano has a current supply of 45,000,000,000 with 31,948,309,440.747799 in circulation. The last known price of Cardano is 1.76395205 USD and is up 9.48 over the last 24 hours. It is currently trading on 260 active market(s) with $8,388,806,362.28 traded over the last 24 hours. More information can be found at https://www.cardano.org.",CCC,ccc_market
ADA-INR,Cardano INR,ADA,INR,"Cardano (ADA) is a cryptocurrency . Users are able to generate ADA through the process of mining. Cardano has a current supply of 45,000,000,000 with 31,948,309,440.747799 in circulation. The last known price of Cardano is 1.37949601 USD and is up 2.85 over the last 24 hours. It is currently trading on 260 active market(s) with $3,427,082,340.87 traded over the last 24 hours. More information can be found at https://www.cardano.org.",CCC,ccc_market
ADA-JPY,Cardano JPY,ADA,JPY,"Cardano (ADA) is a cryptocurrency . Users are able to generate ADA through the process of mining. Cardano has a current supply of 45,000,000,000 with 31,948,309,440.747799 in circulation. The last known price of Cardano is 1.37949601 USD and is up 2.85 over the last 24 hours. It is currently trading on 260 active market(s) with $3,427,082,340.87 traded over the last 24 hours. More information can be found at https://www.cardano.org.",CCC,ccc_market
ADA-KRW,Cardano KRW,ADA,KRW,"Cardano (ADA) is a cryptocurrency . Users are able to generate ADA through the process of mining. Cardano has a current supply of 45,000,000,000 with 31,948,309,440.747799 in circulation. The last known price of Cardano is 1.37949601 USD and is up 2.85 over the last 24 hours. It is currently trading on 260 active market(s) with $3,427,082,340.87 traded over the last 24 hours. More information can be found at https://www.cardano.org.",CCC,ccc_market
ADA-RUB,Cardano RUB,ADA,RUB,"Cardano (ADA) is a cryptocurrency . Users are able to generate ADA through the process of mining. Cardano has a current supply of 45,000,000,000 with 31,948,309,440.747799 in circulation. The last known price of Cardano is 1.76395205 USD and is up 9.48 over the last 24 hours. It is currently trading on 260 active market(s) with $8,388,806,362.28 traded over the last 24 hours. More information can be found at https://www.cardano.org.",CCC,ccc_market
ADA-USD,Cardano USD,ADA,USD,"Cardano (ADA) is a cryptocurrency . Users are able to generate ADA through the process of mining. Cardano has a current supply of 45,000,000,000 with 31,948,309,440.747799 in circulation. The last known price of Cardano is 1.76395205 USD and is up 9.48 over the last 24 hours. It is currently trading on 260 active market(s) with $8,388,806,362.28 traded over the last 24 hours. More information can be found at https://www.cardano.org.",CCC,ccc_market
ADK-CAD,AidosKuneen CAD,ADK,CAD,"Aidos Kuneen (ADK) is a cryptocurrency . Aidos Kuneen has a current supply of 25,000,000. The last known price of Aidos Kuneen is 0.7621446 USD and is down -1.80 over the last 24 hours. It is currently trading on 21 active market(s) with $1,193,854.91 traded over the last 24 hours. More information can be found at http://aidoskuneen.com/.",CCC,ccc_market
ADK-CNY,AidosKuneen CNY,ADK,CNY,"Aidos Kuneen (ADK) is a cryptocurrency . Aidos Kuneen has a current supply of 25,000,000. The last known price of Aidos Kuneen is 0.7621446 USD and is down -1.80 over the last 24 hours. It is currently trading on 21 active market(s) with $1,193,854.91 traded over the last 24 hours. More information can be found at http://aidoskuneen.com/.",CCC,ccc_market
